SimId                                AgentId Time Value                  
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      1    7.551009002032003e+07  
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      2    0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      3    0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      4    0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      5    0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      6    0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      7    0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      8    0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      9    0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      10   1.2585015003386652e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      11   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      12   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      13   755100.9002031987      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      14   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      15   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      16   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      17   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      18   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      19   1.2585015003386652e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      20   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      21   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      22   125850.15003386645     
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      23   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      24   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      25   755100.9002031987      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      26   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      27   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      28   1.2585015003386652e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      29   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      30   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      31   125850.15003386645     
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      32   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      33   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      34   125850.15003386645     
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      35   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      36   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      37   1.3340115903589854e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      38   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      39   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      40   125850.15003386645     
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      41   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      42   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      43   125850.15003386645     
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      44   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      45   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      46   1.271086515342052e+07  
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      47   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      48   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      49   880951.0502370651      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      50   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      51   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      52   125850.15003386645     
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      53   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      54   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      55   1.271086515342052e+07  
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      56   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      57   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      58   251700.3000677329      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      59   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      60   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      61   880951.0502370651      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      62   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      63   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      64   1.271086515342052e+07  
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      65   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      66   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      67   251700.3000677329      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      68   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      69   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      70   251700.3000677329      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      71   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      72   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      73   1.3465966053623721e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      74   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      75   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      76   251700.3000677329      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      77   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      78   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      79   251700.3000677329      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      80   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      81   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      82   1.2836715303454386e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      83   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      84   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      85   1.0068012002709315e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      86   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      87   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      88   251700.3000677329      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      89   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      90   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      91   1.2836715303454386e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      92   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      93   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      94   377550.45010159933     
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      95   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      96   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      97   1.0068012002709315e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      98   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      99   0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      100  1.2836715303454386e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      101  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      102  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      103  377550.45010159933     
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      104  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      105  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      106  377550.45010159933     
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      107  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      108  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      109  1.3591816203657588e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      110  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      111  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      112  377550.45010159933     
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      113  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      114  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      115  377550.45010159933     
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      116  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      117  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      118  1.2962565453488253e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      119  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      120  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      121  1.132651350304798e+06  
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      122  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      123  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      124  377550.45010159933     
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      125  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      126  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      127  1.2962565453488253e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      128  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      129  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      130  503400.6001354658      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      131  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      132  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      133  1.887752250507997e+06  
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      134  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      135  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      136  1.2962565453488253e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      137  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      138  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      139  503400.6001354658      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      140  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      141  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      142  629250.7501693323      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      143  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      144  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      145  1.3717666353691455e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      146  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      147  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      148  503400.6001354658      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      149  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      150  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      151  629250.7501693323      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      152  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      153  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      154  1.308841560352212e+07  
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      155  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      156  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      157  1.2585015003386645e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      158  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      159  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      160  629250.7501693323      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      161  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      162  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      163  1.308841560352212e+07  
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      164  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      165  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      166  629250.7501693323      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      167  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      168  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      169  1.384351650372531e+06  
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      170  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      171  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      172  1.308841560352212e+07  
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      173  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      174  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      175  629250.7501693323      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      176  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      177  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      178  755100.9002031987      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      179  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      180  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      181  1.5731268754233327e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      182  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      183  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      184  629250.7501693323      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      185  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      186  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      187  755100.9002031987      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      188  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      189  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      190  1.3214265753555987e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      191  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      192  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      193  2.894553450778929e+06  
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      194  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      195  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      196  755100.9002031987      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      197  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      198  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      199  1.2962565453488253e+07 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      200  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      201  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      202  1.0068012002709315e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      203  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      204  0                      
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      205  3.7755045010159947e+06 
7170308c-81a2-47c5-a397-f87ce0a59c0a 78      206  0                      
